===================
	  Java项目分析报告
===================

1. 类 / 接口汇总
------------------
类 org.apache.commons.math4.core.jdkmath.AccurateMath   [50字段, 87方法, 注释率31%]
类 org.apache.commons.math4.legacy.analysis.function.Sinc   [2字段, 2方法, 注释率37%]
类 org.apache.commons.math4.legacy.analysis.function.Sinh   [0字段, 2方法, 注释率27%]
类 org.apache.commons.math4.legacy.analysis.function.Sqrt   [0字段, 2方法, 注释率27%]
类 org.apache.commons.math4.legacy.analysis.function.StepFunction   [2字段, 1方法, 注释率40%]
类 org.apache.commons.math4.legacy.analysis.function.Subtract   [0字段, 1方法, 注释率14%]
类 org.apache.commons.math4.legacy.analysis.function.Tan   [0字段, 2方法, 注释率27%]
类 org.apache.commons.math4.legacy.analysis.function.Tanh   [0字段, 2方法, 注释率27%]
类 org.apache.commons.math4.legacy.analysis.function.Ulp   [0字段, 1方法, 注释率14%]
类 org.apache.commons.math4.legacy.analysis.FunctionUtils   [0字段, 15方法, 注释率42%]
类 org.apache.commons.math4.legacy.analysis.integration.BaseAbstractUnivariateIntegrator   [13字段, 12方法, 注释率46%]
类 org.apache.commons.math4.legacy.analysis.integration.gauss.BaseRuleFactory   [2字段, 5方法, 注释率45%]
类 org.apache.commons.math4.legacy.analysis.integration.gauss.GaussIntegrator   [2字段, 4方法, 注释率51%]
类 org.apache.commons.math4.legacy.analysis.integration.gauss.GaussIntegratorFactory   [4字段, 8方法, 注释率62%]
类 org.apache.commons.math4.legacy.analysis.integration.gauss.HermiteRuleFactory   [3字段, 1方法, 注释率22%]
类 org.apache.commons.math4.legacy.analysis.integration.gauss.LaguerreRuleFactory   [0字段, 2方法, 注释率15%]
类 org.apache.commons.math4.legacy.analysis.integration.gauss.LegendreHighPrecisionRuleFactory   [4字段, 1方法, 注释率23%]
类 org.apache.commons.math4.legacy.analysis.integration.gauss.LegendreRuleFactory   [0字段, 1方法, 注释率23%]
类 org.apache.commons.math4.legacy.analysis.integration.gauss.SymmetricGaussIntegrator   [0字段, 1方法, 注释率34%]
类 org.apache.commons.math4.legacy.analysis.integration.IterativeLegendreGaussIntegrator   [2字段, 2方法, 注释率40%]
类 org.apache.commons.math4.legacy.analysis.integration.MidPointIntegrator   [1字段, 2方法, 注释率45%]
类 org.apache.commons.math4.legacy.analysis.integration.RombergIntegrator   [1字段, 1方法, 注释率34%]
类 org.apache.commons.math4.legacy.analysis.integration.SimpsonIntegrator   [1字段, 1方法, 注释率41%]
类 org.apache.commons.math4.legacy.analysis.integration.TrapezoidIntegrator   [2字段, 2方法, 注释率41%]
接口 org.apache.commons.math4.legacy.analysis.integration.UnivariateIntegrator   [0字段, 7方法, 注释率74%]
类 org.apache.commons.math4.legacy.analysis.interpolation.AkimaSplineInterpolator   [2字段, 3方法, 注释率24%]
类 org.apache.commons.math4.legacy.analysis.interpolation.BicubicInterpolatingFunction   [5字段, 10方法, 注释率36%]
类 org.apache.commons.math4.legacy.analysis.interpolation.BicubicInterpolator   [1字段, 1方法, 注释率24%]
接口 org.apache.commons.math4.legacy.analysis.interpolation.BivariateGridInterpolator   [0字段, 1方法, 注释率73%]
类 org.apache.commons.math4.legacy.analysis.interpolation.ClampedSplineInterpolator   [0字段, 2方法, 注释率31%]
类 org.apache.commons.math4.legacy.analysis.interpolation.DividedDifferenceInterpolator   [0字段, 2方法, 注释率54%]
类 org.apache.commons.math4.legacy.analysis.interpolation.FieldHermiteInterpolator   [3字段, 3方法, 注释率29%]
类 org.apache.commons.math4.legacy.analysis.interpolation.HermiteInterpolator   [3字段, 6方法, 注释率35%]
类 org.apache.commons.math4.legacy.analysis.interpolation.InterpolatingMicrosphere   [7字段, 8方法, 注释率45%]
类 org.apache.commons.math4.legacy.analysis.interpolation.InterpolatingMicrosphere2D   [1字段, 1方法, 注释率53%]
类 org.apache.commons.math4.legacy.analysis.interpolation.LinearInterpolator   [0字段, 1方法, 注释率30%]
类 org.apache.commons.math4.legacy.analysis.interpolation.LoessInterpolator   [6字段, 6方法, 注释率45%]
类 org.apache.commons.math4.legacy.analysis.interpolation.MicrosphereProjectionInterpolator   [4字段, 1方法, 注释率41%]
接口 org.apache.commons.math4.legacy.analysis.interpolation.MultivariateInterpolator   [0字段, 1方法, 注释率73%]
类 org.apache.commons.math4.legacy.analysis.interpolation.NevilleInterpolator   [0字段, 1方法, 注释率55%]
类 org.apache.commons.math4.legacy.analysis.interpolation.PiecewiseBicubicSplineInterpolatingFunction   [4字段, 3方法, 注释率26%]
类 org.apache.commons.math4.legacy.analysis.interpolation.PiecewiseBicubicSplineInterpolator   [0字段, 1方法, 注释率9%]
类 org.apache.commons.math4.legacy.analysis.interpolation.SplineInterpolator   [0字段, 1方法, 注释率17%]
类 org.apache.commons.math4.legacy.analysis.interpolation.TricubicInterpolatingFunction   [5字段, 4方法, 注释率23%]
类 org.apache.commons.math4.legacy.analysis.interpolation.TricubicFunction   [2字段, 1方法, 注释率20%]
类 org.apache.commons.math4.legacy.analysis.interpolation.TricubicInterpolator   [0字段, 1方法, 注释率5%]
接口 org.apache.commons.math4.legacy.analysis.interpolation.TrivariateGridInterpolator   [0字段, 1方法, 注释率75%]
接口 org.apache.commons.math4.legacy.analysis.interpolation.UnivariateInterpolator   [0字段, 1方法, 注释率75%]
类 org.apache.commons.math4.legacy.analysis.interpolation.UnivariatePeriodicInterpolator   [4字段, 1方法, 注释率33%]
接口 org.apache.commons.math4.legacy.analysis.MultivariateFunction   [0字段, 1方法, 注释率78%]
接口 org.apache.commons.math4.legacy.analysis.MultivariateMatrixFunction   [0字段, 1方法, 注释率55%]
接口 org.apache.commons.math4.legacy.analysis.MultivariateVectorFunction   [0字段, 1方法, 注释率55%]
接口 org.apache.commons.math4.legacy.analysis.ParametricUnivariateFunction   [0字段, 2方法, 注释率74%]
类 org.apache.commons.math4.legacy.analysis.polynomials.PolynomialFunction   [1字段, 15方法, 注释率36%]
类 org.apache.commons.math4.legacy.analysis.polynomials.PolynomialFunctionLagrangeForm   [4字段, 9方法, 注释率48%]
类 org.apache.commons.math4.legacy.analysis.polynomials.PolynomialFunctionNewtonForm   [4字段, 9方法, 注释率47%]
类 org.apache.commons.math4.legacy.analysis.polynomials.PolynomialSplineFunction   [3字段, 7方法, 注释率47%]
类 org.apache.commons.math4.legacy.analysis.polynomials.PolynomialsUtils   [7字段, 8方法, 注释率42%]
接口 org.apache.commons.math4.legacy.analysis.RealFieldUnivariateFunction   [0字段, 1方法, 注释率80%]
类 org.apache.commons.math4.legacy.analysis.solvers.AbstractPolynomialSolver   [1字段, 2方法, 注释率46%]
类 org.apache.commons.math4.legacy.analysis.solvers.AbstractUnivariateDifferentiableSolver   [1字段, 2方法, 注释率45%]
类 org.apache.commons.math4.legacy.analysis.solvers.AbstractUnivariateSolver   [0字段, 0方法, 注释率53%]
类 org.apache.commons.math4.legacy.analysis.solvers.AllowedSolution   [0字段, 0方法, 注释率69%]
类 org.apache.commons.math4.legacy.analysis.solvers.BaseAbstractUnivariateSolver   [10字段, 20方法, 注释率50%]
类 org.apache.commons.math4.legacy.analysis.solvers.BaseSecantSolver   [3字段, 4方法, 注释率28%]
接口 org.apache.commons.math4.legacy.analysis.solvers.BaseUnivariateSolver   [0字段, 8方法, 注释率82%]
类 org.apache.commons.math4.legacy.analysis.solvers.BisectionSolver   [1字段, 1方法, 注释率32%]
接口 org.apache.commons.math4.legacy.analysis.solvers.BracketedRealFieldUnivariateSolver   [0字段, 7方法, 注释率81%]
接口 org.apache.commons.math4.legacy.analysis.solvers.BracketedUnivariateSolver   [0字段, 2方法, 注释率80%]
类 org.apache.commons.math4.legacy.analysis.solvers.BracketingNthOrderBrentSolver   [6字段, 5方法, 注释率28%]
类 org.apache.commons.math4.legacy.analysis.solvers.BrentSolver   [1字段, 1方法, 注释率39%]
类 org.apache.commons.math4.legacy.analysis.solvers.FieldBracketingNthOrderBrentSolver   [7字段, 9方法, 注释率35%]
类 org.apache.commons.math4.legacy.analysis.solvers.IllinoisSolver   [0字段, 0方法, 注释率48%]
类 org.apache.commons.math4.legacy.analysis.solvers.LaguerreSolver   [2字段, 5方法, 注释率38%]
类 org.apache.commons.math4.legacy.analysis.solvers.MullerSolver   [1字段, 2方法, 注释率30%]
类 org.apache.commons.math4.legacy.analysis.solvers.MullerSolver2   [1字段, 1方法, 注释率24%]
类 org.apache.commons.math4.legacy.analysis.solvers.NewtonRaphsonSolver   [1字段, 2方法, 注释率41%]
类 org.apache.commons.math4.legacy.analysis.solvers.PegasusSolver   [0字段, 0方法, 注释率48%]
接口 org.apache.commons.math4.legacy.analysis.solvers.PolynomialSolver   [0字段, 0方法, 注释率0%]
类 org.apache.commons.math4.legacy.analysis.solvers.RegulaFalsiSolver   [0字段, 0方法, 注释率48%]
类 org.apache.commons.math4.legacy.analysis.solvers.RiddersSolver   [1字段, 1方法, 注释率28%]
类 org.apache.commons.math4.legacy.analysis.solvers.SecantSolver   [1字段, 1方法, 注释率33%]
接口 org.apache.commons.math4.legacy.analysis.solvers.UnivariateDifferentiableSolver   [0字段, 0方法, 注释率0%]
接口 org.apache.commons.math4.legacy.analysis.solvers.UnivariateSolver   [0字段, 0方法, 注释率0%]
类 org.apache.commons.math4.legacy.analysis.solvers.UnivariateSolverUtils   [0字段, 12方法, 注释率51%]
接口 org.apache.commons.math4.legacy.analysis.TrivariateFunction   [0字段, 1方法, 注释率73%]
接口 org.apache.commons.math4.legacy.analysis.UnivariateFunction   [0字段, 2方法, 注释率59%]
接口 org.apache.commons.math4.legacy.analysis.UnivariateMatrixFunction   [0字段, 1方法, 注释率56%]
接口 org.apache.commons.math4.legacy.analysis.UnivariateVectorFunction   [0字段, 1方法, 注释率56%]
类 org.apache.commons.math4.legacy.distribution.AbstractIntegerDistribution   [0字段, 7方法, 注释率40%]
类 org.apache.commons.math4.legacy.distribution.AbstractMultivariateRealDistribution   [1字段, 3方法, 注释率33%]
类 org.apache.commons.math4.legacy.distribution.AbstractRealDistribution   [1字段, 6方法, 注释率45%]
类 org.apache.commons.math4.legacy.distribution.EmpiricalDistribution   [8字段, 23方法, 注释率45%]
类 org.apache.commons.math4.legacy.distribution.EnumeratedDistribution   [3字段, 3方法, 注释率46%]
类 org.apache.commons.math4.legacy.distribution.EnumeratedIntegerDistribution   [1字段, 8方法, 注释率36%]
类 org.apache.commons.math4.legacy.distribution.EnumeratedRealDistribution   [1字段, 9方法, 注释率33%]
类 org.apache.commons.math4.legacy.distribution.fitting.MultivariateNormalMixtureExpectationMaximization   [5字段, 5方法, 注释率36%]
类 org.apache.commons.math4.legacy.distribution.MixtureMultivariateNormalDistribution   [0字段, 1方法, 注释率46%]
类 org.apache.commons.math4.legacy.distribution.MixtureMultivariateRealDistribution   [2字段, 3方法, 注释率27%]
类 org.apache.commons.math4.legacy.distribution.MultivariateNormalDistribution   [5字段, 6方法, 注释率30%]
接口 org.apache.commons.math4.legacy.distribution.MultivariateRealDistribution   [0字段, 3方法, 注释率77%]
接口 org.apache.commons.math4.legacy.field.linalg.FieldDecompositionSolver   [0字段, 2方法, 注释率75%]
类 org.apache.commons.math4.legacy.field.linalg.FieldDenseMatrix   [4字段, 18方法, 注释率36%]
类 org.apache.commons.math4.legacy.field.linalg.FieldLUDecomposition   [5字段, 8方法, 注释率29%]
类 org.apache.commons.math4.legacy.filter.DefaultMeasurementModel   [2字段, 2方法, 注释率54%]
类 org.apache.commons.math4.legacy.filter.DefaultProcessModel   [5字段, 5方法, 注释率48%]
类 org.apache.commons.math4.legacy.filter.KalmanFilter   [9字段, 11方法, 注释率44%]
接口 org.apache.commons.math4.legacy.filter.MeasurementModel   [0字段, 2方法, 注释率74%]
接口 org.apache.commons.math4.legacy.filter.ProcessModel   [0字段, 5方法, 注释率77%]
类 org.apache.commons.math4.legacy.fitting.AbstractCurveFitter   [0字段, 3方法, 注释率48%]
类 org.apache.commons.math4.legacy.fitting.GaussianCurveFitter   [1字段, 1方法, 注释率44%]
类 org.apache.commons.math4.legacy.fitting.HarmonicCurveFitter   [1字段, 1方法, 注释率55%]
类 org.apache.commons.math4.legacy.fitting.leastsquares.AbstractEvaluation   [1字段, 6方法, 注释率24%]
类 org.apache.commons.math4.legacy.fitting.leastsquares.DenseWeightedEvaluation   [2字段, 3方法, 注释率33%]
类 org.apache.commons.math4.legacy.fitting.leastsquares.DifferentiatorVectorMultivariateJacobianFunction   [2字段, 2方法, 注释率34%]
类 org.apache.commons.math4.legacy.fitting.leastsquares.EvaluationRmsChecker   [2字段, 1方法, 注释率50%]
类 org.apache.commons.math4.legacy.fitting.leastsquares.GaussNewtonOptimizer   [2字段, 5方法, 注释率38%]
类 org.apache.commons.math4.legacy.fitting.leastsquares.LeastSquaresAdapter   [1字段, 7方法, 注释率25%]
类 org.apache.commons.math4.legacy.fitting.leastsquares.LeastSquaresBuilder   [9字段, 14方法, 注释率55%]
类 org.apache.commons.math4.legacy.fitting.leastsquares.LeastSquaresFactory   [0字段, 10方法, 注释率39%]
接口 org.apache.commons.math4.legacy.fitting.leastsquares.LeastSquaresOptimizer   [0字段, 1方法, 注释率70%]
接口 org.apache.commons.math4.legacy.fitting.leastsquares.LeastSquaresProblem   [0字段, 4方法, 注释率77%]
类 org.apache.commons.math4.legacy.fitting.leastsquares.LevenbergMarquardtOptimizer   [6字段, 15方法, 注释率30%]
接口 org.apache.commons.math4.legacy.fitting.leastsquares.MultivariateJacobianFunction   [0字段, 1方法, 注释率60%]
类 org.apache.commons.math4.legacy.fitting.leastsquares.OptimumImpl   [3字段, 11方法, 注释率24%]
接口 org.apache.commons.math4.legacy.fitting.leastsquares.ParameterValidator   [0字段, 1方法, 注释率67%]
接口 org.apache.commons.math4.legacy.fitting.leastsquares.ValueAndJacobianFunction   [0字段, 2方法, 注释率71%]
类 org.apache.commons.math4.legacy.fitting.PolynomialCurveFitter   [1字段, 1方法, 注释率61%]
类 org.apache.commons.math4.legacy.fitting.SimpleCurveFitter   [4字段, 5方法, 注释率41%]
类 org.apache.commons.math4.legacy.fitting.WeightedObservedPoint   [3字段, 3方法, 注释率52%]
类 org.apache.commons.math4.legacy.fitting.WeightedObservedPoints   [1字段, 5方法, 注释率70%]
类 org.apache.commons.math4.legacy.genetics.AbstractListChromosome   [1字段, 5方法, 注释率55%]
类 org.apache.commons.math4.legacy.genetics.BinaryChromosome   [0字段, 3方法, 注释率33%]
类 org.apache.commons.math4.legacy.genetics.BinaryMutation   [0字段, 1方法, 注释率35%]
类 org.apache.commons.math4.legacy.genetics.Chromosome   [2字段, 5方法, 注释率53%]
类 org.apache.commons.math4.legacy.genetics.ChromosomePair   [2字段, 3方法, 注释率44%]
接口 org.apache.commons.math4.legacy.genetics.CrossoverPolicy   [0字段, 1方法, 注释率67%]
类 org.apache.commons.math4.legacy.genetics.CycleCrossover   [1字段, 3方法, 注释率32%]
类 org.apache.commons.math4.legacy.genetics.ElitisticListPopulation   [1字段, 3方法, 注释率46%]
接口 org.apache.commons.math4.legacy.genetics.Fitness   [0字段, 1方法, 注释率50%]
类 org.apache.commons.math4.legacy.genetics.FixedElapsedTime   [2字段, 1方法, 注释率47%]
类 org.apache.commons.math4.legacy.genetics.FixedGenerationCount   [2字段, 2方法, 注释率43%]
类 org.apache.commons.math4.legacy.genetics.GeneticAlgorithm   [7字段, 10方法, 注释率48%]
类 org.apache.commons.math4.legacy.genetics.InvalidRepresentationException   [1字段, 0方法, 注释率47%]
类 org.apache.commons.math4.legacy.genetics.ListPopulation   [2字段, 10方法, 注释率43%]
接口 org.apache.commons.math4.legacy.genetics.MutationPolicy   [0字段, 1方法, 注释率60%]
类 org.apache.commons.math4.legacy.genetics.NPointCrossover   [1字段, 3方法, 注释率43%]
类 org.apache.commons.math4.legacy.genetics.OnePointCrossover   [0字段, 2方法, 注释率49%]
类 org.apache.commons.math4.legacy.genetics.OrderedCrossover   [0字段, 2方法, 注释率28%]
接口 org.apache.commons.math4.legacy.genetics.PermutationChromosome   [0字段, 1方法, 注释率69%]
接口 org.apache.commons.math4.legacy.genetics.Population   [0字段, 5方法, 注释率67%]
类 org.apache.commons.math4.legacy.genetics.RandomKey   [2字段, 10方法, 注释率42%]
类 org.apache.commons.math4.legacy.genetics.RandomKeyMutation   [0字段, 1方法, 注释率21%]
接口 org.apache.commons.math4.legacy.genetics.SelectionPolicy   [0字段, 1方法, 注释率67%]
接口 org.apache.commons.math4.legacy.genetics.StoppingCondition   [0字段, 1方法, 注释率70%]
类 org.apache.commons.math4.legacy.genetics.TournamentSelection   [1字段, 4方法, 注释率49%]
类 org.apache.commons.math4.legacy.genetics.UniformCrossover   [1字段, 3方法, 注释率35%]
类 org.apache.commons.math4.legacy.linear.AbstractFieldMatrix   [1字段, 59方法, 注释率15%]
类 org.apache.commons.math4.legacy.linear.AbstractRealMatrix   [1字段, 54方法, 注释率11%]
接口 org.apache.commons.math4.legacy.linear.AnyMatrix   [0字段, 7方法, 注释率55%]
类 org.apache.commons.math4.legacy.linear.Array2DRowFieldMatrix   [2字段, 26方法, 注释率27%]
类 org.apache.commons.math4.legacy.linear.Array2DRowRealMatrix   [2字段, 29方法, 注释率23%]
类 org.apache.commons.math4.legacy.linear.ArrayFieldVector   [3字段, 52方法, 注释率38%]
类 org.apache.commons.math4.legacy.linear.ArrayRealVector   [3字段, 49方法, 注释率24%]
类 org.apache.commons.math4.legacy.linear.BiDiagonalTransformer   [6字段, 9方法, 注释率20%]
类 org.apache.commons.math4.legacy.linear.BigReal   [6字段, 17方法, 注释率41%]
类 org.apache.commons.math4.legacy.linear.BigRealField   [1字段, 5方法, 注释率36%]
类 org.apache.commons.math4.legacy.linear.BlockFieldMatrix   [7字段, 49方法, 注释率17%]
类 org.apache.commons.math4.legacy.linear.BlockRealMatrix   [7字段, 51方法, 注释率17%]
类 org.apache.commons.math4.legacy.linear.CholeskyDecomposition   [5字段, 4方法, 注释率32%]
类 org.apache.commons.math4.legacy.linear.ConjugateGradient   [4字段, 2方法, 注释率27%]
接口 org.apache.commons.math4.legacy.linear.DecompositionSolver   [0字段, 4方法, 注释率84%]
类 org.apache.commons.math4.legacy.linear.DefaultFieldMatrixChangingVisitor   [1字段, 3方法, 注释率23%]
类 org.apache.commons.math4.legacy.linear.DefaultFieldMatrixPreservingVisitor   [1字段, 3方法, 注释率25%]
类 org.apache.commons.math4.legacy.linear.DefaultIterativeLinearSolverEvent   [5字段, 5方法, 注释率50%]
类 org.apache.commons.math4.legacy.linear.DefaultRealMatrixChangingVisitor   [0字段, 3方法, 注释率16%]
类 org.apache.commons.math4.legacy.linear.DefaultRealMatrixPreservingVisitor   [0字段, 3方法, 注释率18%]
类 org.apache.commons.math4.legacy.linear.DiagonalMatrix   [2字段, 21方法, 注释率35%]
类 org.apache.commons.math4.legacy.linear.EigenDecomposition   [12字段, 17方法, 注释率29%]
接口 org.apache.commons.math4.legacy.linear.FieldDecompositionSolver   [0字段, 4方法, 注释率74%]
类 org.apache.commons.math4.legacy.linear.FieldLUDecomposition   [8字段, 6方法, 注释率22%]
接口 org.apache.commons.math4.legacy.linear.FieldMatrix   [0字段, 50方法, 注释率83%]
接口 org.apache.commons.math4.legacy.linear.FieldMatrixChangingVisitor   [0字段, 3方法, 注释率73%]
接口 org.apache.commons.math4.legacy.linear.FieldMatrixPreservingVisitor   [0字段, 3方法, 注释率72%]
接口 org.apache.commons.math4.legacy.linear.FieldVector   [0字段, 28方法, 注释率73%]
接口 org.apache.commons.math4.legacy.linear.FieldVectorChangingVisitor   [0字段, 3方法, 注释率75%]
接口 org.apache.commons.math4.legacy.linear.FieldVectorPreservingVisitor   [0字段, 3方法, 注释率74%]
类 org.apache.commons.math4.legacy.linear.HessenbergTransformer   [5字段, 5方法, 注释率26%]
类 org.apache.commons.math4.legacy.linear.IllConditionedOperatorException   [1字段, 0方法, 注释率47%]
类 org.apache.commons.math4.legacy.linear.IterationEvent   [2字段, 1方法, 注释率53%]
接口 org.apache.commons.math4.legacy.linear.IterationListener   [0字段, 4方法, 注释率72%]
类 org.apache.commons.math4.legacy.linear.IterationManager   [4字段, 11方法, 注释率53%]
类 org.apache.commons.math4.legacy.linear.IterativeLinearSolver   [1字段, 5方法, 注释率58%]
类 org.apache.commons.math4.legacy.linear.IterativeLinearSolverEvent   [1字段, 5方法, 注释率75%]
类 org.apache.commons.math4.legacy.linear.JacobiPreconditioner   [1字段, 5方法, 注释率35%]
类 org.apache.commons.math4.legacy.linear.LUDecomposition   [8字段, 6方法, 注释率26%]
类 org.apache.commons.math4.legacy.linear.MatrixDimensionMismatchException   [1字段, 4方法, 注释率46%]
类 org.apache.commons.math4.legacy.linear.MatrixUtils   [2字段, 35方法, 注释率49%]
类 org.apache.commons.math4.legacy.linear.NonPositiveDefiniteMatrixException   [3字段, 3方法, 注释率41%]
类 org.apache.commons.math4.legacy.linear.NonPositiveDefiniteOperatorException   [1字段, 0方法, 注释率20%]
类 org.apache.commons.math4.legacy.linear.NonSelfAdjointOperatorException   [1字段, 0方法, 注释率20%]
类 org.apache.commons.math4.legacy.linear.NonSquareMatrixException   [1字段, 0方法, 注释率47%]
类 org.apache.commons.math4.legacy.linear.NonSquareOperatorException   [1字段, 0方法, 注释率50%]
